start	end	mean	std	min	max	duration
0.0	0.00025	81.1108930664	27.0706670795	38.790567627	113.246396484	0.00025
0.00025	0.00065	127.034512939	4.62992458876	120.048533936	133.836650391	0.0004
0.00065	0.0009	103.282184326	7.36596919484	91.5530932617	111.407980957	0.00025
0.0009	0.00125	76.9245582799	4.16896909066	70.7789978027	83.4640649414	0.00035
0.00125	0.0023	66.0779066685	4.02799494255	59.5646630859	73.5366210938	0.00105
0.0023	0.00305	78.4758308105	3.48935378263	68.0213745117	82.361015625	0.00075
0.00305	0.00405	56.9265368042	7.01477190696	43.3866064453	70.59515625	0.001
0.00405	0.00435	71.6675653076	6.83964427288	62.6899694824	78.868026123	0.0003
0.00435	0.00485	65.7049709473	2.22014841307	61.586920166	68.5728991699	0.0005
0.00485	0.00665	74.5732831828	4.55709403117	62.1384448242	81.9933325195	0.0018
0.00665	0.008	59.4489109972	10.0353152397	37.6875183105	77.2134521484	0.00135
0.008	0.00825	31.731052002	6.7091840606	23.8994018555	40.0774584961	0.00025
0.00825	0.0105	21.7423276367	1.72997842476	18.016472168	28.6792822266	0.00225
0.0105	0.01235	19.9294180545	1.22802070593	16.3618981934	22.0609863281	0.00185
0.01235	0.01295	23.3478771973	5.26602567388	16.5457397461	36.9521520996	0.0006
0.01295	0.01325	67.5004901123	19.4178273639	25.9216589355	83.2802233887	0.0003
0.01325	0.01355	21.785223999	1.48881392655	19.3033630371	23.7155603027	0.0003
0.01355	0.01675	18.3267047882	1.30193498166	14.8911657715	21.8771447754	0.0032
0.01675	0.0171	20.038729248	0.589604660387	18.9356799316	20.5902539062	0.00035
0.0171	0.01755	16.5865934245	1.7543313488	13.0527502441	19.1195214844	0.00045
0.01755	0.0184	18.2327563477	1.026951358	16.7295812988	20.9579370117	0.00085
0.0184	0.02065	19.8222047526	2.21231627416	14.3396411133	23.53171875	0.00225
0.02065	0.0235	18.9614822548	1.353338923	14.523482666	22.7963525391	0.00285
0.0235	0.02375	23.9729384766	0.3785529263	23.3478771973	24.4509265137	0.00025
0.02375	0.024	21.7668398437	0.473726543101	21.3256201172	22.6125109863	0.00025
0.024	0.02445	19.9161682129	0.765393419232	18.2003137207	20.774095459	0.00045
0.02445	0.0258	18.5748057726	1.17394608546	16.1780566406	20.9579370117	0.00135
