start	end	mean	std	min	max	duration
0.0	0.00025	114.31267749	31.5259908259	92.1046179199	176.304049072	0.00025
0.00025	0.0034	98.6674695406	4.59360270061	88.0601037598	112.511030273	0.00315
0.0034	0.00365	151.411902832	34.3939196436	113.062554932	205.167172852	0.00025
0.00365	0.0048	100.249598017	4.64973769545	92.1046179199	109.937248535	0.00115
0.0048	0.00675	110.748036922	3.13450378207	102.032061768	116.004019775	0.00195
0.00675	0.0088	107.906023574	3.92577104611	98.7229138184	118.761643066	0.00205
0.0088	0.01165	107.992398425	4.13124575414	96.5168151855	121.335424805	0.00285
0.01165	0.0154	110.795175781	4.03350582549	101.112854004	118.761643066	0.00375
0.0154	0.01595	93.8260433683	3.90480711256	84.5671142578	101.480537109	0.00055
0.01595	0.0163	83.9368003627	3.96111315835	77.7649768066	89.8985192871	0.00035
0.0163	0.01655	93.7591918945	1.11523807666	91.7369348145	94.8622412109	0.00025
0.01655	0.0182	109.185169456	3.89155112995	98.7229138184	116.371702881	0.00165
0.0182	0.022	105.108988808	3.99187444697	95.5976074219	114.717128906	0.0038
0.022	0.0227	93.9167703683	6.00913939104	76.6619274902	102.21590332	0.0007
0.0227	0.0267	58.2524940033	3.69308163756	50.556427002	65.8152758789	0.004
0.0267	0.0293	59.1580904212	4.10502119068	43.2027648926	70.9628393555	0.0026
0.0293	0.02975	54.6826485189	2.07289647845	51.6594763184	57.5424060059	0.00045
0.02975	0.0316	60.8118044302	2.10920770273	56.071673584	64.8960681152	0.00185
0.0316	0.0322	55.6886703491	2.65082512658	50.1887438965	59.5646630859	0.0006
0.0322	0.0357	59.0157647356	3.01194007888	52.9463671875	65.6314343262	0.0035
0.0357	0.0362	62.1568289795	0.503135068022	61.4030786133	62.8738110352	0.0005
0.0362	0.0368	55.6427099609	2.68971912743	51.1079516602	60.3000292969	0.0006
0.0368	0.03885	59.6139864294	2.31869578437	52.7625256348	64.8960681152	0.00205
0.03885	0.04285	57.4987436371	4.00095606546	47.6149621582	68.2052160645	0.004
0.04285	0.0437	60.7325976563	2.38864310715	54.2332580566	63.7930187988	0.00085
0.0437	0.0477	58.3076464691	3.9786348754	38.4228845215	68.0213745117	0.004
