start	end	mean	std	min	max	duration
0.0	0.00025	184.24600415	40.2088668666	103.870477295	206.086380615	0.00025
0.00025	0.0012	202.72885331	3.07211577057	198.181193848	210.682419434	0.00095
0.0012	0.00145	57.5056376953	14.9038250308	47.4311206055	87.1408959961	0.00025
0.00145	0.00185	193.516214447	20.3929380953	144.867143555	206.821746826	0.0004
0.00185	0.00305	202.302308655	2.32295803449	197.629669189	206.637905273	0.0012
0.00305	0.0033	82.2139423828	30.658995094	59.1969799805	140.638787842	0.00025
0.0033	0.00385	116.856376065	3.18545693939	112.878713379	122.070791016	0.00055
0.00385	0.00595	124.508880179	3.00186788293	118.761643066	130.343660889	0.0021
0.00595	0.0076	120.962170743	3.6459173449	114.533287354	127.76987915	0.00165
0.0076	0.0116	124.77555986	2.92550687427	117.474752197	131.814393311	0.004
0.0116	0.0156	124.34812825	2.9565776877	117.290910645	131.814393311	0.004
0.0156	0.0196	124.327446075	3.79833899388	116.187861328	137.513481445	0.004
0.0196	0.0209	124.962760057	2.93994320212	117.842435303	131.814393311	0.0013
0.0209	0.0249	123.594377884	2.92550687427	116.187861328	130.527502441	0.004
0.0249	0.0289	123.079621536	2.85117352736	117.107069092	131.0790271	0.004
0.0289	0.03275	123.410208043	3.0286403944	116.187861328	132.365917969	0.00385
0.03275	0.0337	115.820178223	4.30692580426	105.892734375	127.034512939	0.00095
0.0337	0.0353	121.680127716	3.69766961707	115.084812012	128.321403809	0.0016
0.0353	0.0368	123.62118811	2.24692352774	118.577801514	127.586037598	0.0015
0.0368	0.03825	118.710928155	4.39682302572	109.753406982	126.115305176	0.00145
0.03825	0.03865	123.679404602	2.12762347592	121.151583252	126.850671387	0.0004
0.03865	0.04265	115.105494186	1.81109444993	110.672614746	119.313167725	0.004
0.04265	0.04655	114.844403827	1.35393604477	108.466516113	117.107069092	0.0039
0.04655	0.0468	114.459750732	1.74252312794	112.327188721	116.555544434	0.00025
0.0468	0.04705	99.1641335449	5.75937764809	94.6783996582	110.488773193	0.00025
0.04705	0.04765	96.1797723389	1.01205660682	94.4945581055	97.9875476074	0.0006
0.04765	0.04805	106.214457092	3.91257628968	101.296695557	115.268653564	0.0004
0.04805	0.04895	100.122152303	1.99339682722	96.5168151855	104.054318848	0.0009
0.04895	0.0505	115.345748409	1.27777169764	113.246396484	119.129326172	0.00155
0.0505	0.0511	42.635920105	24.0749923195	20.038729248	93.5753503418	0.0006
0.0511	0.0523	114.701808777	1.41800191329	111.959505615	117.107069092	0.0012
0.0523	0.0535	111.660763092	3.15258894268	104.789685059	116.555544434	0.0012
0.0535	0.0575	114.427578461	1.62540652643	110.488773193	117.65859375	0.004
0.0575	0.0583	114.23454483	1.91812363937	111.775664062	118.026276855	0.0008
0.0583	0.0623	115.420322845	1.36704923501	111.775664062	120.048533936	0.004
0.0623	0.06545	115.274489804	1.31716186777	111.775664062	118.026276855	0.00315
0.06545	0.06945	114.535585373	1.48431242137	109.753406982	117.842435303	0.004
0.06945	0.06975	112.84807312	1.61814220766	110.304931641	115.452495117	0.0003
0.06975	0.07075	114.652784363	0.88411350438	113.246396484	116.739385986	0.001
0.07075	0.071	116.445239502	4.94202204164	111.59182251	125.74762207	0.00025
0.071	0.0733	114.928946347	1.60084373809	111.224139404	119.68085083	0.0023
0.0733	0.07545	114.533287354	1.08725989741	112.143347168	116.555544434	0.00215
0.07545	0.0758	112.904976458	0.881281867767	111.775664062	114.717128906	0.00035
0.0758	0.0766	115.969549484	1.01990388716	114.349445801	118.026276855	0.0008
0.0766	0.077	110.511753387	3.20728107187	105.341209717	115.452495117	0.0004
0.077	0.0793	114.757094461	1.50183302369	110.856456299	118.393959961	0.0023
0.0793	0.0833	121.078046631	1.38876444826	118.393959961	124.460731201	0.004
0.0833	0.0873	121.110218903	1.57637431562	115.63633667	125.74762207	0.004
0.0873	0.08755	122.512010742	0.249374815051	122.070791016	122.806157227	0.00025
0.08755	0.08915	120.255355682	1.57057480434	117.290910645	123.541523438	0.0016
0.08915	0.0902	114.734637626	0.993918658115	112.694871826	116.923227539	0.00105
0.0902	0.09175	113.4598899	1.66612867617	109.201882324	116.555544434	0.00155
0.09175	0.09315	115.183298558	1.21994404728	112.511030273	117.65859375	0.0014
0.09315	0.09695	114.738899616	1.36045596356	111.775664062	117.474752197	0.0038
0.09695	0.09785	113.409811198	1.60256332141	109.018040771	115.820178223	0.0009
0.09785	0.0986	96.3697419434	1.14553597634	94.8622412109	99.2744384766	0.00075
0.0986	0.0991	113.209628174	3.74044151501	104.789685059	118.026276855	0.0005
