start	end	mean	std	min	max	duration
0.0	0.00025	97.3257180176	55.2157445499	68.0213745117	207.74095459	0.00025
0.00025	0.0023	65.9004707448	2.71016266633	57.1747229004	70.9628393555	0.00205
0.0023	0.00255	118.393959961	41.8616540768	69.3082653809	194.688204346	0.00025
0.00255	0.0028	94.6416313477	0.681950569471	93.7591918945	95.5976074219	0.00025
0.0028	0.00325	130.936039225	4.3347273683	124.276889648	137.14579834	0.00045
0.00325	0.00355	120.69197937	1.22292639012	118.945484619	121.886949463	0.0003
0.00355	0.004	115.575056152	0.921248182972	113.430238037	116.555544434	0.00045
0.004	0.00515	112.519023384	1.96848108488	109.018040771	117.107069092	0.00115
0.00515	0.0057	115.619623801	1.50879347992	113.062554932	117.842435303	0.00055
0.0057	0.00775	110.121090088	1.9771177081	106.26041748	114.165604248	0.00205
0.00775	0.008	105.488282959	0.783432531782	104.422001953	106.811942139	0.00025
0.008	0.0084	97.2292012024	1.64288298946	95.5976074219	100.929012451	0.0004
0.0084	0.00925	66.2262158203	2.08997004309	62.8738110352	71.1466809082	0.00085
0.00925	0.01115	86.961892379	7.81403283377	70.9628393555	98.7229138184	0.0019
0.01115	0.01185	80.5094685582	2.51348093841	75.1911950684	85.3024804688	0.0007
0.01185	0.01245	91.1088095093	1.0810194215	89.1631530762	93.2076672363	0.0006
0.01245	0.013	96.4332508434	2.40897316736	92.1046179199	101.296695557	0.00055
0.013	0.01355	83.8651737837	1.56940864844	81.6256494141	87.1408959961	0.00055
0.01355	0.01395	88.3358660889	4.21434455484	82.9125402832	97.4360229492	0.0004
0.01395	0.01465	56.7676451765	4.35280328227	52.9463671875	70.2274731445	0.0007
0.01465	0.0151	66.1216784668	9.93349440062	55.336307373	83.6479064941	0.00045
0.0151	0.0158	86.0247151402	2.10698814395	81.9933325195	90.2662023926	0.0007
0.0158	0.0164	89.1018725586	1.52402565094	87.3247375488	92.1046179199	0.0006
0.0164	0.0169	99.3295909424	2.36155906164	94.8622412109	102.583586426	0.0005
0.0169	0.01725	90.3712547084	1.4133343627	88.9793115234	93.5753503418	0.00035
0.01725	0.0175	74.6396704102	7.73271750762	66.5506420898	88.0601037598	0.00025
0.0175	0.01885	54.8528721788	2.93044270078	51.1079516602	65.8152758789	0.00135
0.01885	0.01915	54.6622216797	0.203244483765	54.4170996094	54.9686242676	0.0003
0.01915	0.01965	87.471810791	2.46347680664	81.8094909668	91.9207763672	0.0005
0.01965	0.0205	93.445579834	1.69407267424	91.1854101563	96.884498291	0.00085
0.0205	0.0213	83.7168470764	3.00320453928	79.603392334	90.8177270508	0.0008
0.0213	0.02165	87.1671590751	0.806922149181	85.854005127	88.2439453125	0.00035
0.02165	0.02205	69.4001861572	0.595714716432	68.5728991699	70.4113146973	0.0004
0.02205	0.023	72.9270412084	3.77661536471	68.3890576172	82.1771740723	0.00095
0.023	0.02435	92.0501463487	3.78480661519	82.5448571777	99.0905969238	0.00135
