start	end	mean	std	min	max	duration
0.0	0.00025	106.517795654	47.6029080086	79.0518676758	201.490341797	0.00025
0.00025	0.00125	80.6237129517	0.989120517796	78.1326599121	82.361015625	0.001
0.00125	0.0015	96.4432785645	18.0211989021	80.3387585449	126.115305176	0.00025
0.0015	0.0019	143.993896179	5.55322464517	130.711343994	149.647023926	0.0004
0.0019	0.0022	145.47994873	0.860113051537	143.764094238	146.337875977	0.0003
0.0022	0.0052	141.931806763	2.18479440886	135.12354126	146.154034424	0.003
0.0052	0.0056	119.014425201	4.55721062791	113.062554932	126.666829834	0.0004
0.0056	0.00715	145.798212064	2.64519883744	137.14579834	150.014707031	0.00155
0.00715	0.00875	142.075049973	2.68561201908	135.307382813	147.992449951	0.0016
0.00875	0.00965	119.619570313	2.75557984999	116.004019775	128.689086914	0.0009
0.00965	0.0102	129.47459173	3.80260913948	124.093048096	136.778115234	0.00055
0.0102	0.0114	120.385576782	4.2505008089	109.937248535	129.05677002	0.0012
0.0114	0.01425	124.625221012	4.78219757884	115.084812012	140.638787842	0.00285
0.01425	0.0145	113.687616211	0.859151982258	112.327188721	114.900970459	0.00025
0.0145	0.0168	116.735389431	3.66491983666	109.753406982	125.74762207	0.0023
0.0168	0.02015	111.589078606	3.92738619041	102.767427979	119.68085083	0.00335
0.02015	0.02115	114.809049683	2.68339402676	109.201882324	118.945484619	0.001
0.02115	0.02185	81.8882802037	14.3555776984	64.8960681152	109.56956543	0.0007
0.02185	0.0225	72.8012548828	5.91642079376	63.0576525879	84.3832727051	0.00065
0.0225	0.0246	86.3398720878	4.00730036218	78.868026123	96.7006567383	0.0021
0.0246	0.02515	96.2828350275	1.69600620964	93.9430334473	98.9067553711	0.00055
0.02515	0.0259	61.6359445801	3.27318284276	56.4393566895	68.3890576172	0.00075
0.0259	0.0265	87.6311401367	1.97766196828	83.8317480469	91.9207763672	0.0006
0.0265	0.02805	99.4523496566	3.71796058129	92.1046179199	106.811942139	0.00155
0.02805	0.02865	79.679992981	7.86068956939	68.9405822754	94.126875	0.0006
0.02865	0.0293	71.1183975924	2.2011980004	68.0213745117	75.5588781738	0.00065
0.0293	0.03115	59.3808215332	3.9061872494	54.4170996094	69.8597900391	0.00185
0.03115	0.0319	91.7001665039	1.83498060944	88.2439453125	94.8622412109	0.00075
0.0319	0.0326	86.9045282854	3.94077477947	81.9933325195	95.9652905273	0.0007
0.0326	0.03325	88.3287952599	1.14381449809	86.5893713379	90.0823608398	0.00065
0.03325	0.03385	75.7120794678	3.89034769899	71.3305224609	82.1771740723	0.0006
0.03385	0.0341	89.7514460449	8.54687267718	79.0518676758	100.561329346	0.00025
0.0341	0.03475	95.4420491849	2.20001658818	92.6561425781	100.377487793	0.00065
0.03475	0.036	83.103735498	8.64195788315	67.4698498535	96.5168151855	0.00125
0.036	0.03635	91.5793563407	0.842058369373	90.633885498	92.8399841309	0.00035
0.03635	0.03775	94.8491096715	2.51348093841	87.3247375488	99.2744384766	0.0014
0.03775	0.03815	77.4202738953	1.06975210096	75.1911950684	78.868026123	0.0004
0.03815	0.03925	82.5365007435	4.17330899796	76.6619274902	90.8177270508	0.0011
0.03925	0.0403	86.711932373	1.88794012425	82.361015625	89.3469946289	0.00105
0.0403	0.04385	83.4977260708	1.8322711294	79.0518676758	87.5085791016	0.00355
0.04385	0.0443	85.8744319661	0.633561394458	84.9347973633	86.9570544434	0.00045
0.0443	0.0468	83.6074613525	2.46684675939	74.6396704102	89.5308361816	0.0025
0.0468	0.04735	80.3053328081	1.18578949855	78.1326599121	82.361015625	0.00055
0.04735	0.04805	84.7509558105	1.00213522287	82.9125402832	86.4055297852	0.0007
0.04805	0.0486	87.5587177069	1.72830777691	84.0155895996	90.4500439453	0.00055
0.0486	0.05075	84.3362434707	2.77455684064	75.1911950684	89.3469946289	0.00215
0.05075	0.0512	79.0518676758	4.3071093628	69.8597900391	84.7509558105	0.00045
0.0512	0.05505	83.2396349939	1.89684708303	79.603392334	88.2439453125	0.00385
0.05505	0.0571	84.6119536609	1.93018917695	81.2579663086	89.8985192871	0.00205
0.0571	0.0576	83.4089124756	0.67322164138	82.5448571777	84.5671142578	0.0005
0.0576	0.05925	85.9542823375	2.12720086804	81.6256494141	90.4500439453	0.00165
0.05925	0.06005	91.6565041351	1.69614226872	88.0601037598	93.7591918945	0.0008
0.06005	0.06115	95.4889737771	1.98287108613	90.4500439453	99.2744384766	0.0011
0.06115	0.06145	82.6674182129	1.41477060963	80.1549169922	84.7509558105	0.0003
0.06145	0.06295	67.3227766113	6.8359069714	58.829296875	82.1771740723	0.0015
0.06295	0.0645	53.8181319698	6.19630015564	46.6957543945	65.079909668	0.00155
0.0645	0.0648	81.5337286377	3.05743112627	75.9265612793	86.0378466797	0.0003
0.0648	0.06525	86.4463834635	1.54002653758	83.6479064941	89.1631530762	0.00045
0.06525	0.0657	91.8186421712	7.26173415057	78.6841845703	102.032061768	0.00045
0.0657	0.06725	100.10469065	3.21349597995	92.4723010254	105.708892822	0.00155
0.06725	0.06805	81.2809465027	13.4070280996	63.4253356934	101.664378662	0.0008
0.06805	0.0684	104.343212716	7.62814734023	88.2439453125	110.856456299	0.00035
0.0684	0.07005	109.881538974	2.98826627598	103.135111084	115.268653564	0.00165
0.07005	0.07045	96.2640330505	4.44172139203	88.9793115234	103.686635742	0.0004
0.07045	0.0711	86.0802716534	6.11315590433	79.0518676758	99.2744384766	0.00065
0.0711	0.0718	78.2639753069	1.42475690511	76.2942443848	82.1771740723	0.0007
0.0718	0.07235	74.1382843572	1.58358286843	72.2497302246	77.9488183594	0.00055
0.07235	0.07275	63.5172564697	3.14954437915	59.5646630859	67.837532959	0.0004
0.07275	0.0733	52.2110009766	2.87704154049	47.7988037109	56.8070397949	0.00055
0.0733	0.07385	86.1214110218	2.69321016844	80.1549169922	90.2662023926	0.00055
0.07385	0.0755	98.2270987216	3.79511752975	91.369251709	106.26041748	0.00165
0.0755	0.07585	74.3507765416	2.79476676322	70.9628393555	78.5003430176	0.00035
0.07585	0.07655	67.5486390904	1.34506968494	65.079909668	69.6759484863	0.0007
0.07655	0.077	111.08115153	4.81103018965	97.8037060547	114.900970459	0.00045
0.077	0.0778	115.682297058	2.28650044236	112.143347168	120.600058594	0.0008
0.0778	0.07835	97.0683398437	1.511937381	94.3107165527	100.009804687	0.00055
0.07835	0.07885	101.296695557	2.61933893414	97.619864502	105.157368164	0.0005
0.07885	0.0791	85.2289438477	2.77253541789	82.9125402832	90.4500439453	0.00025
0.0791	0.07995	75.6994628906	2.72427933093	69.8597900391	80.1549169922	0.00085
0.07995	0.0811	72.0578955609	1.8219384342	68.7567407227	75.3750366211	0.00115
0.0811	0.08225	64.5763436757	4.55451644424	59.0131384277	76.845769043	0.00115
0.08225	0.0829	50.0897522912	1.58247616275	46.5119128418	51.8433178711	0.00065
0.0829	0.08315	57.1747229004	7.00819817321	50.9241101074	68.5728991699	0.00025
0.08315	0.08405	86.6200115967	10.3208563291	58.4616137695	100.561329346	0.0009
0.08405	0.0845	73.3323527018	3.77404856925	67.102166748	78.1326599121	0.00045
0.0845	0.0849	68.8946218872	1.61777954999	66.7344836426	71.3305224609	0.0004
0.0849	0.08645	112.315327975	4.0590270999	100.009804687	120.048533936	0.00155
0.08645	0.0873	103.081040039	3.30660245042	96.884498291	112.327188721	0.00085
0.0873	0.08795	91.9632013409	7.89421240815	79.9710754395	104.789685059	0.00065
0.08795	0.08865	79.4458138602	3.41813745676	74.6396704102	86.2216882324	0.0007
0.08865	0.0895	71.2440087891	1.83421226467	66.7344836426	75.0073535156	0.00085
0.0895	0.08995	64.8552144368	3.07109901918	61.0353955078	70.4113146973	0.00045
0.08995	0.091	51.8520722307	4.13793309662	46.3280712891	63.9768603516	0.00105
0.091	0.092	87.3247375488	1.56643359858	82.5448571777	89.3469946289	0.001
0.092	0.0931	84.5086192183	4.08547598541	70.9628393555	89.1631530762	0.0011
0.0931	0.09395	89.1415246582	1.20945215962	86.9570544434	91.0015686035	0.00085
0.09395	0.0943	101.638115583	1.60699142537	98.5390722656	103.502794189	0.00035
0.0943	0.0949	95.2758847046	4.04947275334	89.7146777344	106.076575928	0.0006
0.0949	0.0958	73.6898223877	4.2550263184	68.7567407227	86.5893713379	0.0009
0.0958	0.09605	73.0954013672	0.610841051576	72.0658886719	73.7204626465	0.00025
0.09605	0.0964	66.6294313267	0.665446512679	65.9991174316	67.837532959	0.00035
0.0964	0.0974	70.0620157471	2.29463423128	66.1829589844	74.8235119629	0.001
0.0974	0.098	111.407980957	5.88723689712	96.1491320801	118.577801514	0.0006
0.098	0.09825	89.3469946289	9.71894326083	74.6396704102	101.480537109	0.00025
0.09825	0.0991	73.7529052734	1.60298534985	71.1466809082	77.3972937012	0.00085
0.0991	0.0994	77.6117755127	2.2972021903	76.2942443848	82.7286987305	0.0003
0.0994	0.0998	100.124705658	3.68594003592	92.8399841309	105.341209717	0.0004
0.0998	0.1004	91.5224530029	4.67070521259	86.2216882324	99.4582800293	0.0006
0.1004	0.1011	63.4647303118	6.27496628858	57.3585644531	78.5003430176	0.0007
0.1011	0.1024	95.3430575796	5.10829100169	82.1771740723	103.870477295	0.0013
0.1024	0.10285	100.336634115	1.24016318651	98.5390722656	102.951269531	0.00045
0.10285	0.1031	97.7301694336	0.740860929022	96.7006567383	98.9067553711	0.00025
